episode_index,task,frame_index,duration_steps,event_observed,right_censored
14,libero_10_task3,0,86,True,False
14,libero_10_task3,1,85,True,False
14,libero_10_task3,2,84,True,False
14,libero_10_task3,3,83,True,False
14,libero_10_task3,4,82,True,False
14,libero_10_task3,5,81,True,False
14,libero_10_task3,6,80,True,False
14,libero_10_task3,7,79,True,False
14,libero_10_task3,8,78,True,False
14,libero_10_task3,9,77,True,False
14,libero_10_task3,10,76,True,False
14,libero_10_task3,11,75,True,False
14,libero_10_task3,12,74,True,False
14,libero_10_task3,13,73,True,False
14,libero_10_task3,14,72,True,False
14,libero_10_task3,15,71,True,False
14,libero_10_task3,16,70,True,False
14,libero_10_task3,17,69,True,False
14,libero_10_task3,18,68,True,False
14,libero_10_task3,19,67,True,False
14,libero_10_task3,20,66,True,False
14,libero_10_task3,21,65,True,False
14,libero_10_task3,22,64,True,False
14,libero_10_task3,23,63,True,False
14,libero_10_task3,24,62,True,False
14,libero_10_task3,25,61,True,False
14,libero_10_task3,26,60,True,False
14,libero_10_task3,27,59,True,False
14,libero_10_task3,28,58,True,False
14,libero_10_task3,29,57,True,False
14,libero_10_task3,30,56,True,False
14,libero_10_task3,31,55,True,False
14,libero_10_task3,32,54,True,False
14,libero_10_task3,33,53,True,False
14,libero_10_task3,34,52,True,False
14,libero_10_task3,35,51,True,False
14,libero_10_task3,36,50,True,False
14,libero_10_task3,37,49,True,False
14,libero_10_task3,38,48,True,False
14,libero_10_task3,39,47,True,False
14,libero_10_task3,40,46,True,False
14,libero_10_task3,41,45,True,False
14,libero_10_task3,42,44,True,False
14,libero_10_task3,43,43,True,False
14,libero_10_task3,44,42,True,False
14,libero_10_task3,45,41,True,False
14,libero_10_task3,46,40,True,False
14,libero_10_task3,47,39,True,False
14,libero_10_task3,48,38,True,False
14,libero_10_task3,49,37,True,False
14,libero_10_task3,50,36,True,False
14,libero_10_task3,51,35,True,False
14,libero_10_task3,52,34,True,False
14,libero_10_task3,53,33,True,False
14,libero_10_task3,54,32,True,False
14,libero_10_task3,55,31,True,False
14,libero_10_task3,56,30,True,False
14,libero_10_task3,57,29,True,False
14,libero_10_task3,58,28,True,False
14,libero_10_task3,59,27,True,False
14,libero_10_task3,60,26,True,False
14,libero_10_task3,61,25,True,False
14,libero_10_task3,62,24,True,False
14,libero_10_task3,63,23,True,False
14,libero_10_task3,64,22,True,False
14,libero_10_task3,65,21,True,False
14,libero_10_task3,66,20,True,False
14,libero_10_task3,67,19,True,False
14,libero_10_task3,68,18,True,False
14,libero_10_task3,69,17,True,False
14,libero_10_task3,70,16,True,False
14,libero_10_task3,71,15,True,False
14,libero_10_task3,72,14,True,False
14,libero_10_task3,73,13,True,False
14,libero_10_task3,74,12,True,False
14,libero_10_task3,75,11,True,False
14,libero_10_task3,76,10,True,False
14,libero_10_task3,77,9,True,False
14,libero_10_task3,78,8,True,False
14,libero_10_task3,79,7,True,False
14,libero_10_task3,80,6,True,False
14,libero_10_task3,81,5,True,False
14,libero_10_task3,82,4,True,False
14,libero_10_task3,83,3,True,False
14,libero_10_task3,84,2,True,False
14,libero_10_task3,85,1,True,False
14,libero_10_task3,86,75,True,False
14,libero_10_task3,87,74,True,False
14,libero_10_task3,88,73,True,False
14,libero_10_task3,89,72,True,False
14,libero_10_task3,90,71,True,False
14,libero_10_task3,91,70,True,False
14,libero_10_task3,92,69,True,False
14,libero_10_task3,93,68,True,False
14,libero_10_task3,94,67,True,False
14,libero_10_task3,95,66,True,False
14,libero_10_task3,96,65,True,False
14,libero_10_task3,97,64,True,False
14,libero_10_task3,98,63,True,False
14,libero_10_task3,99,62,True,False
14,libero_10_task3,100,61,True,False
14,libero_10_task3,101,60,True,False
14,libero_10_task3,102,59,True,False
14,libero_10_task3,103,58,True,False
14,libero_10_task3,104,57,True,False
14,libero_10_task3,105,56,True,False
14,libero_10_task3,106,55,True,False
14,libero_10_task3,107,54,True,False
14,libero_10_task3,108,53,True,False
14,libero_10_task3,109,52,True,False
14,libero_10_task3,110,51,True,False
14,libero_10_task3,111,50,True,False
14,libero_10_task3,112,49,True,False
14,libero_10_task3,113,48,True,False
14,libero_10_task3,114,47,True,False
14,libero_10_task3,115,46,True,False
14,libero_10_task3,116,45,True,False
14,libero_10_task3,117,44,True,False
14,libero_10_task3,118,43,True,False
14,libero_10_task3,119,42,True,False
14,libero_10_task3,120,41,True,False
14,libero_10_task3,121,40,True,False
14,libero_10_task3,122,39,True,False
14,libero_10_task3,123,38,True,False
14,libero_10_task3,124,37,True,False
14,libero_10_task3,125,36,True,False
14,libero_10_task3,126,35,True,False
14,libero_10_task3,127,34,True,False
14,libero_10_task3,128,33,True,False
14,libero_10_task3,129,32,True,False
14,libero_10_task3,130,31,True,False
14,libero_10_task3,131,30,True,False
14,libero_10_task3,132,29,True,False
14,libero_10_task3,133,28,True,False
14,libero_10_task3,134,27,True,False
14,libero_10_task3,135,26,True,False
14,libero_10_task3,136,25,True,False
14,libero_10_task3,137,24,True,False
14,libero_10_task3,138,23,True,False
14,libero_10_task3,139,22,True,False
14,libero_10_task3,140,21,True,False
14,libero_10_task3,141,20,True,False
14,libero_10_task3,142,19,True,False
14,libero_10_task3,143,18,True,False
14,libero_10_task3,144,17,True,False
14,libero_10_task3,145,16,True,False
14,libero_10_task3,146,15,True,False
14,libero_10_task3,147,14,True,False
14,libero_10_task3,148,13,True,False
14,libero_10_task3,149,12,True,False
14,libero_10_task3,150,11,True,False
14,libero_10_task3,151,10,True,False
14,libero_10_task3,152,9,True,False
14,libero_10_task3,153,8,True,False
14,libero_10_task3,154,7,True,False
14,libero_10_task3,155,6,True,False
14,libero_10_task3,156,5,True,False
14,libero_10_task3,157,4,True,False
14,libero_10_task3,158,3,True,False
14,libero_10_task3,159,2,True,False
14,libero_10_task3,160,1,True,False
14,libero_10_task3,161,95,False,True
14,libero_10_task3,162,94,False,True
14,libero_10_task3,163,93,False,True
14,libero_10_task3,164,92,False,True
14,libero_10_task3,165,91,False,True
14,libero_10_task3,166,90,False,True
14,libero_10_task3,167,89,False,True
14,libero_10_task3,168,88,False,True
14,libero_10_task3,169,87,False,True
14,libero_10_task3,170,86,False,True
14,libero_10_task3,171,85,False,True
14,libero_10_task3,172,84,False,True
14,libero_10_task3,173,83,False,True
14,libero_10_task3,174,82,False,True
14,libero_10_task3,175,81,False,True
14,libero_10_task3,176,80,False,True
14,libero_10_task3,177,79,False,True
14,libero_10_task3,178,78,False,True
14,libero_10_task3,179,77,False,True
14,libero_10_task3,180,76,False,True
14,libero_10_task3,181,75,False,True
14,libero_10_task3,182,74,False,True
14,libero_10_task3,183,73,False,True
14,libero_10_task3,184,72,False,True
14,libero_10_task3,185,71,False,True
14,libero_10_task3,186,70,False,True
14,libero_10_task3,187,69,False,True
14,libero_10_task3,188,68,False,True
14,libero_10_task3,189,67,False,True
14,libero_10_task3,190,66,False,True
14,libero_10_task3,191,65,False,True
14,libero_10_task3,192,64,False,True
14,libero_10_task3,193,63,False,True
14,libero_10_task3,194,62,False,True
14,libero_10_task3,195,61,False,True
14,libero_10_task3,196,60,False,True
14,libero_10_task3,197,59,False,True
14,libero_10_task3,198,58,False,True
14,libero_10_task3,199,57,False,True
14,libero_10_task3,200,56,False,True
14,libero_10_task3,201,55,False,True
14,libero_10_task3,202,54,False,True
14,libero_10_task3,203,53,False,True
14,libero_10_task3,204,52,False,True
14,libero_10_task3,205,51,False,True
14,libero_10_task3,206,50,False,True
14,libero_10_task3,207,49,False,True
14,libero_10_task3,208,48,False,True
14,libero_10_task3,209,47,False,True
14,libero_10_task3,210,46,False,True
14,libero_10_task3,211,45,False,True
14,libero_10_task3,212,44,False,True
14,libero_10_task3,213,43,False,True
14,libero_10_task3,214,42,False,True
14,libero_10_task3,215,41,False,True
14,libero_10_task3,216,40,False,True
14,libero_10_task3,217,39,False,True
14,libero_10_task3,218,38,False,True
14,libero_10_task3,219,37,False,True
14,libero_10_task3,220,36,False,True
14,libero_10_task3,221,35,False,True
14,libero_10_task3,222,34,False,True
14,libero_10_task3,223,33,False,True
14,libero_10_task3,224,32,False,True
14,libero_10_task3,225,31,False,True
14,libero_10_task3,226,30,False,True
14,libero_10_task3,227,29,False,True
14,libero_10_task3,228,28,False,True
14,libero_10_task3,229,27,False,True
14,libero_10_task3,230,26,False,True
14,libero_10_task3,231,25,False,True
14,libero_10_task3,232,24,False,True
14,libero_10_task3,233,23,False,True
14,libero_10_task3,234,22,False,True
14,libero_10_task3,235,21,False,True
14,libero_10_task3,236,20,False,True
14,libero_10_task3,237,19,False,True
14,libero_10_task3,238,18,False,True
14,libero_10_task3,239,17,False,True
14,libero_10_task3,240,16,False,True
14,libero_10_task3,241,15,False,True
14,libero_10_task3,242,14,False,True
14,libero_10_task3,243,13,False,True
14,libero_10_task3,244,12,False,True
14,libero_10_task3,245,11,False,True
14,libero_10_task3,246,10,False,True
14,libero_10_task3,247,9,False,True
14,libero_10_task3,248,8,False,True
14,libero_10_task3,249,7,False,True
14,libero_10_task3,250,6,False,True
14,libero_10_task3,251,5,False,True
14,libero_10_task3,252,4,False,True
14,libero_10_task3,253,3,False,True
14,libero_10_task3,254,2,False,True
14,libero_10_task3,255,1,False,True
14,libero_10_task3,256,0,False,True
15,libero_10_task3,0,71,True,False
15,libero_10_task3,1,70,True,False
15,libero_10_task3,2,69,True,False
15,libero_10_task3,3,68,True,False
15,libero_10_task3,4,67,True,False
15,libero_10_task3,5,66,True,False
15,libero_10_task3,6,65,True,False
15,libero_10_task3,7,64,True,False
15,libero_10_task3,8,63,True,False
15,libero_10_task3,9,62,True,False
15,libero_10_task3,10,61,True,False
15,libero_10_task3,11,60,True,False
15,libero_10_task3,12,59,True,False
15,libero_10_task3,13,58,True,False
15,libero_10_task3,14,57,True,False
15,libero_10_task3,15,56,True,False
15,libero_10_task3,16,55,True,False
15,libero_10_task3,17,54,True,False
15,libero_10_task3,18,53,True,False
15,libero_10_task3,19,52,True,False
15,libero_10_task3,20,51,True,False
15,libero_10_task3,21,50,True,False
15,libero_10_task3,22,49,True,False
15,libero_10_task3,23,48,True,False
15,libero_10_task3,24,47,True,False
15,libero_10_task3,25,46,True,False
15,libero_10_task3,26,45,True,False
15,libero_10_task3,27,44,True,False
15,libero_10_task3,28,43,True,False
15,libero_10_task3,29,42,True,False
15,libero_10_task3,30,41,True,False
15,libero_10_task3,31,40,True,False
15,libero_10_task3,32,39,True,False
15,libero_10_task3,33,38,True,False
15,libero_10_task3,34,37,True,False
15,libero_10_task3,35,36,True,False
15,libero_10_task3,36,35,True,False
15,libero_10_task3,37,34,True,False
15,libero_10_task3,38,33,True,False
15,libero_10_task3,39,32,True,False
15,libero_10_task3,40,31,True,False
15,libero_10_task3,41,30,True,False
15,libero_10_task3,42,29,True,False
15,libero_10_task3,43,28,True,False
15,libero_10_task3,44,27,True,False
15,libero_10_task3,45,26,True,False
15,libero_10_task3,46,25,True,False
15,libero_10_task3,47,24,True,False
15,libero_10_task3,48,23,True,False
15,libero_10_task3,49,22,True,False
15,libero_10_task3,50,21,True,False
15,libero_10_task3,51,20,True,False
15,libero_10_task3,52,19,True,False
15,libero_10_task3,53,18,True,False
15,libero_10_task3,54,17,True,False
15,libero_10_task3,55,16,True,False
15,libero_10_task3,56,15,True,False
15,libero_10_task3,57,14,True,False
15,libero_10_task3,58,13,True,False
15,libero_10_task3,59,12,True,False
15,libero_10_task3,60,11,True,False
15,libero_10_task3,61,10,True,False
15,libero_10_task3,62,9,True,False
15,libero_10_task3,63,8,True,False
15,libero_10_task3,64,7,True,False
15,libero_10_task3,65,6,True,False
15,libero_10_task3,66,5,True,False
15,libero_10_task3,67,4,True,False
15,libero_10_task3,68,3,True,False
15,libero_10_task3,69,2,True,False
15,libero_10_task3,70,1,True,False
15,libero_10_task3,71,69,True,False
15,libero_10_task3,72,68,True,False
15,libero_10_task3,73,67,True,False
15,libero_10_task3,74,66,True,False
15,libero_10_task3,75,65,True,False
15,libero_10_task3,76,64,True,False
15,libero_10_task3,77,63,True,False
15,libero_10_task3,78,62,True,False
15,libero_10_task3,79,61,True,False
15,libero_10_task3,80,60,True,False
15,libero_10_task3,81,59,True,False
15,libero_10_task3,82,58,True,False
15,libero_10_task3,83,57,True,False
15,libero_10_task3,84,56,True,False
15,libero_10_task3,85,55,True,False
15,libero_10_task3,86,54,True,False
15,libero_10_task3,87,53,True,False
15,libero_10_task3,88,52,True,False
15,libero_10_task3,89,51,True,False
15,libero_10_task3,90,50,True,False
15,libero_10_task3,91,49,True,False
15,libero_10_task3,92,48,True,False
15,libero_10_task3,93,47,True,False
15,libero_10_task3,94,46,True,False
15,libero_10_task3,95,45,True,False
15,libero_10_task3,96,44,True,False
15,libero_10_task3,97,43,True,False
15,libero_10_task3,98,42,True,False
15,libero_10_task3,99,41,True,False
15,libero_10_task3,100,40,True,False
15,libero_10_task3,101,39,True,False
15,libero_10_task3,102,38,True,False
15,libero_10_task3,103,37,True,False
15,libero_10_task3,104,36,True,False
15,libero_10_task3,105,35,True,False
15,libero_10_task3,106,34,True,False
15,libero_10_task3,107,33,True,False
15,libero_10_task3,108,32,True,False
