task_key,split,group,episode,delay_steps,valid_target_count,utility,revision_or_abs_diff,translation_revision,rotation_revision,gripper_sign_disagreement
libero_object:task3,development,arm,0,0,131,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,1,0,133,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,2,0,151,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,3,0,139,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,4,0,130,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,5,0,132,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,6,0,142,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,7,0,280,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,8,0,132,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,9,0,131,1.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,0,4,127,0.6824395060539246,0.31756049394607544,0.34304070472717285,0.6629233956336975,0.023622047156095505
libero_object:task3,development,arm,1,4,129,0.7058303952217102,0.2941695749759674,0.31081631779670715,0.5849142074584961,0.10852713137865067
libero_object:task3,development,arm,2,4,147,0.7004550695419312,0.2995448708534241,0.31074807047843933,0.612202525138855,0.11564625799655914
libero_object:task3,development,arm,3,4,135,0.7064476013183594,0.2935524880886078,0.332239031791687,0.5704296231269836,0.1111111119389534
libero_object:task3,development,arm,4,4,126,0.6973125338554382,0.3026873767375946,0.2979598939418793,0.6412889361381531,0.0555555559694767
libero_object:task3,development,arm,5,4,128,0.6993398666381836,0.30066007375717163,0.30794084072113037,0.6171441674232483,0.09375
libero_object:task3,development,arm,6,4,138,0.7211204171180725,0.2788795232772827,0.3000648021697998,0.5266246199607849,0.08695652335882187
libero_object:task3,development,arm,7,4,276,0.6753233671188354,0.32467663288116455,0.3916926085948944,0.6581507921218872,0.1666666716337204
libero_object:task3,development,arm,8,4,128,0.7073727250099182,0.2926272749900818,0.30668866634368896,0.578101634979248,0.0625
libero_object:task3,development,arm,9,4,127,0.7081071138381958,0.2918928563594818,0.3082369863986969,0.5726170539855957,0.06299212574958801
libero_object:task3,development,arm,0,8,123,0.6984010934829712,0.3015989363193512,0.31535542011260986,0.6061705946922302,0.04878048598766327
libero_object:task3,development,arm,1,8,125,0.7172654867172241,0.2827345132827759,0.29032865166664124,0.5665464997291565,0.09600000083446503
libero_object:task3,development,arm,2,8,143,0.7025655508041382,0.2974345088005066,0.3255576193332672,0.5878387689590454,0.1258741319179535
libero_object:task3,development,arm,3,8,131,0.7039614319801331,0.29603856801986694,0.34246814250946045,0.578072726726532,0.13740457594394684
libero_object:task3,development,arm,4,8,122,0.7053335905075073,0.2946664094924927,0.2777247130870819,0.6177024841308594,0.08196721225976944
libero_object:task3,development,arm,5,8,124,0.7007337212562561,0.2992662489414215,0.33191293478012085,0.5819060206413269,0.08870967477560043
libero_object:task3,development,arm,6,8,134,0.7263108491897583,0.2736891508102417,0.29492536187171936,0.5103722810745239,0.0746268630027771
libero_object:task3,development,arm,7,8,272,0.6717942357063293,0.32820579409599304,0.4420272707939148,0.6487048864364624,0.1875
libero_object:task3,development,arm,8,8,124,0.7148168683052063,0.2851831316947937,0.3000451624393463,0.564014196395874,0.04032257944345474
libero_object:task3,development,arm,9,8,123,0.7004237174987793,0.2995763123035431,0.3058058023452759,0.6019138097763062,0.0731707289814949
libero_object:task3,development,arm,0,16,115,0.6725464463233948,0.3274535834789276,0.3675696551799774,0.6842576265335083,0.06086956337094307
libero_object:task3,development,arm,1,16,117,0.6960581541061401,0.3039417862892151,0.33352527022361755,0.6061511635780334,0.1111111119389534
libero_object:task3,development,arm,2,16,135,0.7047560811042786,0.29524388909339905,0.35741400718688965,0.5422927737236023,0.14074073731899261
libero_object:task3,development,arm,3,16,123,0.6958632469177246,0.3041367828845978,0.35126882791519165,0.6057416796684265,0.11382114142179489
libero_object:task3,development,arm,4,16,114,0.7134560942649841,0.28654393553733826,0.2769855260848999,0.5857107043266296,0.07894736528396606
libero_object:task3,development,arm,5,16,116,0.6952787637710571,0.30472123622894287,0.3279629945755005,0.6141980886459351,0.11206896603107452
libero_object:task3,development,arm,6,16,126,0.7211394906044006,0.2788604199886322,0.29620105028152466,0.5187063217163086,0.1031746044754982
libero_object:task3,development,arm,7,16,264,0.6550705432891846,0.34492942690849304,0.5080153942108154,0.6709031462669373,0.19696970283985138
libero_object:task3,development,arm,8,16,116,0.7123265266418457,0.2876735031604767,0.3060401976108551,0.5531628727912903,0.0517241396009922
libero_object:task3,development,arm,9,16,115,0.6801130771636963,0.3198869228363037,0.385597825050354,0.6217834949493408,0.12173912674188614
libero_object:task3,development,arm,0,20,111,0.6687164902687073,0.3312835693359375,0.3838020861148834,0.6788172125816345,0.054054055362939835
libero_object:task3,development,arm,1,20,113,0.6966061592102051,0.30339381098747253,0.3315865099430084,0.6015186905860901,0.10619468986988068
libero_object:task3,development,arm,2,20,131,0.6906726360321045,0.30932727456092834,0.3612276017665863,0.6017727851867676,0.15267175436019897
libero_object:task3,development,arm,3,20,119,0.6990755796432495,0.3009243607521057,0.32655400037765503,0.6066249012947083,0.10924369841814041
libero_object:task3,development,arm,4,20,110,0.6843072772026062,0.3156927525997162,0.33714544773101807,0.6458439230918884,0.06363636255264282
libero_object:task3,development,arm,5,20,112,0.6960611343383789,0.30393892526626587,0.3184753954410553,0.6126660108566284,0.1071428582072258
libero_object:task3,development,arm,6,20,122,0.7094339728355408,0.290566086769104,0.3236787021160126,0.5532212853431702,0.1147540956735611
libero_object:task3,development,arm,7,20,260,0.6449184417724609,0.3550815284252167,0.5518607497215271,0.6958358287811279,0.2153846174478531
libero_object:task3,development,arm,8,20,112,0.7090027928352356,0.2909972667694092,0.3001876473426819,0.5766600370407104,0.0625
libero_object:task3,development,arm,9,20,111,0.6804099082946777,0.3195900022983551,0.39295098185539246,0.6178494095802307,0.09009008854627609
libero_object:task3,development,arm,0,32,99,0.6396639943122864,0.3603360652923584,0.4718567728996277,0.7638009786605835,0.05050504952669144
libero_object:task3,development,arm,1,32,101,0.6716963052749634,0.32830384373664856,0.3848394751548767,0.6871767640113831,0.14851485192775726
libero_object:task3,development,arm,2,32,119,0.6960709691047668,0.3039291203022003,0.31605732440948486,0.6062442064285278,0.15126051008701324
libero_object:task3,development,arm,3,32,107,0.6808714270591736,0.3191286027431488,0.35381078720092773,0.6763907670974731,0.1682243049144745
libero_object:task3,development,arm,4,32,98,0.6734358072280884,0.32656413316726685,0.4282779395580292,0.6463941931724548,0.15306122601032257
libero_object:task3,development,arm,5,32,100,0.686663031578064,0.3133370280265808,0.37167415022850037,0.6122573614120483,0.11999999731779099
libero_object:task3,development,arm,6,32,110,0.6957544088363647,0.30424562096595764,0.3641743063926697,0.574441134929657,0.11818181723356247
libero_object:task3,development,arm,7,32,248,0.6153966188430786,0.3846033811569214,0.680442214012146,0.7311955094337463,0.2620967626571655
libero_object:task3,development,arm,8,32,100,0.6938526034355164,0.30614739656448364,0.3520751893520355,0.61542147397995,0.07999999821186066
libero_object:task3,development,arm,9,32,99,0.6555758118629456,0.34442418813705444,0.45850518345832825,0.6660982370376587,0.13131313025951385
libero_object:task3,development,gripper,0,0,131,1.0,0.0,,,0.0
libero_object:task3,development,gripper,1,0,133,1.0,0.0,,,0.0
libero_object:task3,development,gripper,2,0,151,1.0,0.0,,,0.0
libero_object:task3,development,gripper,3,0,139,1.0,0.0,,,0.0
libero_object:task3,development,gripper,4,0,130,1.0,0.0,,,0.0
libero_object:task3,development,gripper,5,0,132,1.0,0.0,,,0.0
libero_object:task3,development,gripper,6,0,142,1.0,0.0,,,0.0
libero_object:task3,development,gripper,7,0,280,1.0,0.0,,,0.0
libero_object:task3,development,gripper,8,0,132,1.0,0.0,,,0.0
libero_object:task3,development,gripper,9,0,131,1.0,0.0,,,0.0
libero_object:task3,development,gripper,0,4,127,0.971524178981781,0.057067323476076126,,,0.023622047156095505
libero_object:task3,development,gripper,1,4,129,0.890497088432312,0.21937283873558044,,,0.10852713137865067
libero_object:task3,development,gripper,2,4,147,0.8772598505020142,0.24673104286193848,,,0.11564625799655914
libero_object:task3,development,gripper,3,4,135,0.8861807584762573,0.22804613411426544,,,0.1111111119389534
libero_object:task3,development,gripper,4,4,126,0.9401933550834656,0.11987312138080597,,,0.0555555559694767
libero_object:task3,development,gripper,5,4,128,0.9004136323928833,0.19940198957920074,,,0.09375
libero_object:task3,development,gripper,6,4,138,0.9086030721664429,0.1833043247461319,,,0.08695652335882187
libero_object:task3,development,gripper,7,4,276,0.8289454579353333,0.34329620003700256,,,0.1666666716337204
libero_object:task3,development,gripper,8,4,128,0.9328965544700623,0.13427241146564484,,,0.0625
libero_object:task3,development,gripper,9,4,127,0.9327484965324402,0.13470159471035004,,,0.06299212574958801
libero_object:task3,development,gripper,0,8,123,0.9467839002609253,0.10670456290245056,,,0.04878048598766327
libero_object:task3,development,gripper,1,8,125,0.9025033116340637,0.19538843631744385,,,0.09600000083446503
libero_object:task3,development,gripper,2,8,143,0.8674677014350891,0.26606208086013794,,,0.1258741319179535
libero_object:task3,development,gripper,3,8,131,0.8575434684753418,0.2855169475078583,,,0.13740457594394684
libero_object:task3,development,gripper,4,8,122,0.9139724373817444,0.17265549302101135,,,0.08196721225976944
libero_object:task3,development,gripper,5,8,124,0.9078284502029419,0.1851387470960617,,,0.08870967477560043
libero_object:task3,development,gripper,6,8,134,0.9208452701568604,0.1588466465473175,,,0.0746268630027771
libero_object:task3,development,gripper,7,8,272,0.8093047142028809,0.3832158148288727,,,0.1875
libero_object:task3,development,gripper,8,8,124,0.9550114274024963,0.09025175869464874,,,0.04032257944345474
libero_object:task3,development,gripper,9,8,123,0.9214359521865845,0.15750844776630402,,,0.0731707289814949
libero_object:task3,development,gripper,0,16,115,0.9342520236968994,0.1323614865541458,,,0.06086956337094307
libero_object:task3,development,gripper,1,16,117,0.8870213627815247,0.22617405652999878,,,0.1111111119389534
libero_object:task3,development,gripper,2,16,135,0.8524294495582581,0.29659417271614075,,,0.14074073731899261
libero_object:task3,development,gripper,3,16,123,0.8802865147590637,0.24025359749794006,,,0.11382114142179489
libero_object:task3,development,gripper,4,16,114,0.9165958762168884,0.1675189733505249,,,0.07894736528396606
libero_object:task3,development,gripper,5,16,116,0.8834152817726135,0.234034925699234,,,0.11206896603107452
libero_object:task3,development,gripper,6,16,126,0.8925359845161438,0.2155602127313614,,,0.1031746044754982
libero_object:task3,development,gripper,7,16,264,0.798980176448822,0.4034467339515686,,,0.19696970283985138
libero_object:task3,development,gripper,8,16,116,0.9441235661506653,0.11205936223268509,,,0.0517241396009922
libero_object:task3,development,gripper,9,16,115,0.8729479312896729,0.25520166754722595,,,0.12173912674188614
libero_object:task3,development,gripper,0,20,111,0.9412749409675598,0.11762616783380508,,,0.054054055362939835
libero_object:task3,development,gripper,1,20,113,0.8932981491088867,0.2137458771467209,,,0.10619468986988068
libero_object:task3,development,gripper,2,20,131,0.8377565741539001,0.3262380063533783,,,0.15267175436019897
libero_object:task3,development,gripper,3,20,119,0.8855772018432617,0.22938504815101624,,,0.10924369841814041
libero_object:task3,development,gripper,4,20,110,0.9323705434799194,0.13606083393096924,,,0.06363636255264282
